@W: CG100 :"D:\se50p\SE_50_P_BSP\Libero\PCIe_Gen2_EP_Demo_SE50p_MPF100T_v2021.2\component\polarfire_syn_comps.v":21:13:21:25|User defined pragma syn_black_box detected
@W: CG100 :"D:\se50p\SE_50_P_BSP\Libero\PCIe_Gen2_EP_Demo_SE50p_MPF100T_v2021.2\component\polarfire_syn_comps.v":61:13:61:25|User defined pragma syn_black_box detected
@W: CG100 :"D:\se50p\SE_50_P_BSP\Libero\PCIe_Gen2_EP_Demo_SE50p_MPF100T_v2021.2\component\polarfire_syn_comps.v":88:13:88:25|User defined pragma syn_black_box detected
@W: CG100 :"D:\se50p\SE_50_P_BSP\Libero\PCIe_Gen2_EP_Demo_SE50p_MPF100T_v2021.2\component\polarfire_syn_comps.v":120:13:120:25|User defined pragma syn_black_box detected
@W: CG100 :"D:\se50p\SE_50_P_BSP\Libero\PCIe_Gen2_EP_Demo_SE50p_MPF100T_v2021.2\component\polarfire_syn_comps.v":172:13:172:25|User defined pragma syn_black_box detected
@W: CG100 :"D:\se50p\SE_50_P_BSP\Libero\PCIe_Gen2_EP_Demo_SE50p_MPF100T_v2021.2\component\polarfire_syn_comps.v":219:13:219:25|User defined pragma syn_black_box detected
@W: CG100 :"D:\se50p\SE_50_P_BSP\Libero\PCIe_Gen2_EP_Demo_SE50p_MPF100T_v2021.2\component\polarfire_syn_comps.v":238:13:238:25|User defined pragma syn_black_box detected
@W: CG100 :"D:\se50p\SE_50_P_BSP\Libero\PCIe_Gen2_EP_Demo_SE50p_MPF100T_v2021.2\component\polarfire_syn_comps.v":287:13:287:25|User defined pragma syn_black_box detected
@W: CG100 :"D:\se50p\SE_50_P_BSP\Libero\PCIe_Gen2_EP_Demo_SE50p_MPF100T_v2021.2\component\polarfire_syn_comps.v":341:13:341:25|User defined pragma syn_black_box detected
@W: CG100 :"D:\se50p\SE_50_P_BSP\Libero\PCIe_Gen2_EP_Demo_SE50p_MPF100T_v2021.2\component\polarfire_syn_comps.v":663:13:663:25|User defined pragma syn_black_box detected
@W: CG100 :"D:\se50p\SE_50_P_BSP\Libero\PCIe_Gen2_EP_Demo_SE50p_MPF100T_v2021.2\component\polarfire_syn_comps.v":767:13:767:25|User defined pragma syn_black_box detected
@W: CG100 :"D:\se50p\SE_50_P_BSP\Libero\PCIe_Gen2_EP_Demo_SE50p_MPF100T_v2021.2\component\polarfire_syn_comps.v":803:13:803:25|User defined pragma syn_black_box detected
@W: CG100 :"D:\se50p\SE_50_P_BSP\Libero\PCIe_Gen2_EP_Demo_SE50p_MPF100T_v2021.2\component\polarfire_syn_comps.v":1067:13:1067:25|User defined pragma syn_black_box detected
@W: CG100 :"D:\se50p\SE_50_P_BSP\Libero\PCIe_Gen2_EP_Demo_SE50p_MPF100T_v2021.2\component\polarfire_syn_comps.v":1377:13:1377:25|User defined pragma syn_black_box detected
@W: CG100 :"D:\se50p\SE_50_P_BSP\Libero\PCIe_Gen2_EP_Demo_SE50p_MPF100T_v2021.2\component\polarfire_syn_comps.v":1406:13:1406:25|User defined pragma syn_black_box detected
@W: CG100 :"D:\se50p\SE_50_P_BSP\Libero\PCIe_Gen2_EP_Demo_SE50p_MPF100T_v2021.2\component\polarfire_syn_comps.v":1453:13:1453:25|User defined pragma syn_black_box detected
@W: CG100 :"D:\se50p\SE_50_P_BSP\Libero\PCIe_Gen2_EP_Demo_SE50p_MPF100T_v2021.2\component\polarfire_syn_comps.v":1486:13:1486:25|User defined pragma syn_black_box detected
@W: CG100 :"D:\se50p\SE_50_P_BSP\Libero\PCIe_Gen2_EP_Demo_SE50p_MPF100T_v2021.2\component\polarfire_syn_comps.v":1504:13:1504:25|User defined pragma syn_black_box detected
